study_id,harvest_year,obs_unit_id,obs_unit_rep_id,block,row,column,plot_id,sample_replicate_id,obs_unit_type,variety_factor_level,tab_variety_type,sample_date,tab_sb_assessment_date,sample_timing,tab_sb_wash_date,tab_sb_setup_date,ww_pla_smpl_cnt,ww_rts_smpl_cnt,ww_pla_smpl_tkal_cnt,ww_rts_smpl_tkal_cnt
2017-R-CS-760,2017,2017-R-CS-760-3,2017-R-CS-760-3-E,1,2,2,3,E,plot,Barley - KWS Cassia,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,50,10,26
2017-R-CS-760,2017,2017-R-CS-760-6,2017-R-CS-760-6-A,1,2,3,6,A,plot,Cadenza,LOW,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,63,10,42
2017-R-CS-760,2017,2017-R-CS-760-6,2017-R-CS-760-6-B,1,2,3,6,B,plot,Cadenza,LOW,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,57,6,8
2017-R-CS-760,2017,2017-R-CS-760-6,2017-R-CS-760-6-C,1,2,3,6,C,plot,Cadenza,LOW,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,72,10,48
2017-R-CS-760,2017,2017-R-CS-760-6,2017-R-CS-760-6-D,1,2,3,6,D,plot,Cadenza,LOW,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,65,10,51
2017-R-CS-760,2017,2017-R-CS-760-6,2017-R-CS-760-6-E,1,2,3,6,E,plot,Cadenza,LOW,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,9,53,9,20
2017-R-CS-760,2017,2017-R-CS-760-8,2017-R-CS-760-8-A,2,1,1,8,A,plot,Duxford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,65,10,47
2017-R-CS-760,2017,2017-R-CS-760-8,2017-R-CS-760-8-B,2,1,1,8,B,plot,Duxford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,67,10,43
2017-R-CS-760,2017,2017-R-CS-760-8,2017-R-CS-760-8-C,2,1,1,8,C,plot,Duxford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,64,10,47
2017-R-CS-760,2017,2017-R-CS-760-8,2017-R-CS-760-8-D,2,1,1,8,D,plot,Duxford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,59,10,37
2017-R-CS-760,2017,2017-R-CS-760-8,2017-R-CS-760-8-E,2,1,1,8,E,plot,Duxford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,64,10,49
2017-R-CS-760,2017,2017-R-CS-760-9,2017-R-CS-760-9-A,2,1,2,9,A,plot,Barley - KWS Cassia,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,9,65,7,23
2017-R-CS-760,2017,2017-R-CS-760-9,2017-R-CS-760-9-B,2,1,2,9,B,plot,Barley - KWS Cassia,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,9,55,9,36
2017-R-CS-760,2017,2017-R-CS-760-9,2017-R-CS-760-9-C,2,1,2,9,C,plot,Barley - KWS Cassia,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,52,9,17
2017-R-CS-760,2017,2017-R-CS-760-9,2017-R-CS-760-9-D,2,1,2,9,D,plot,Barley - KWS Cassia,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,61,6,14
2017-R-CS-760,2017,2017-R-CS-760-9,2017-R-CS-760-9-E,2,1,2,9,E,plot,Barley - KWS Cassia,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,55,10,38
2017-R-CS-760,2017,2017-R-CS-760-12,2017-R-CS-760-12-A,2,1,3,12,A,plot,Hereford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,66,10,54
2017-R-CS-760,2017,2017-R-CS-760-12,2017-R-CS-760-12-B,2,1,3,12,B,plot,Hereford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,9,60,9,49
2017-R-CS-760,2017,2017-R-CS-760-12,2017-R-CS-760-12-C,2,1,3,12,C,plot,Hereford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,57,9,32
2017-R-CS-760,2017,2017-R-CS-760-12,2017-R-CS-760-12-D,2,1,3,12,D,plot,Hereford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,64,10,43
2017-R-CS-760,2017,2017-R-CS-760-12,2017-R-CS-760-12-E,2,1,3,12,E,plot,Hereford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,63,10,36
2017-R-CS-760,2017,2017-R-CS-760-7,2017-R-CS-760-7-A,2,2,1,7,A,plot,Xi19,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,60,10,49
2017-R-CS-760,2017,2017-R-CS-760-7,2017-R-CS-760-7-B,2,2,1,7,B,plot,Xi19,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,69,10,47
2017-R-CS-760,2017,2017-R-CS-760-7,2017-R-CS-760-7-C,2,2,1,7,C,plot,Xi19,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,63,10,46
2017-R-CS-760,2017,2017-R-CS-760-7,2017-R-CS-760-7-D,2,2,1,7,D,plot,Xi19,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,61,10,51
2017-R-CS-760,2017,2017-R-CS-760-7,2017-R-CS-760-7-E,2,2,1,7,E,plot,Xi19,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,62,10,36
2017-R-CS-760,2017,2017-R-CS-760-10,2017-R-CS-760-10-A,2,2,2,10,A,plot,Hereward,HIGH,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,68,10,34
2017-R-CS-760,2017,2017-R-CS-760-10,2017-R-CS-760-10-B,2,2,2,10,B,plot,Hereward,HIGH,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,68,10,35
2017-R-CS-760,2017,2017-R-CS-760-10,2017-R-CS-760-10-C,2,2,2,10,C,plot,Hereward,HIGH,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,9,63,9,45
2017-R-CS-760,2017,2017-R-CS-760-10,2017-R-CS-760-10-D,2,2,2,10,D,plot,Hereward,HIGH,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,9,53,9,29
2017-R-CS-760,2017,2017-R-CS-760-10,2017-R-CS-760-10-E,2,2,2,10,E,plot,Hereward,HIGH,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,50,7,11
2017-R-CS-760,2017,2017-R-CS-760-11,2017-R-CS-760-11-A,2,2,3,11,A,plot,Cadenza,LOW,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,9,55,9,43
2017-R-CS-760,2017,2017-R-CS-760-11,2017-R-CS-760-11-B,2,2,3,11,B,plot,Cadenza,LOW,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,64,10,34
2017-R-CS-760,2017,2017-R-CS-760-11,2017-R-CS-760-11-C,2,2,3,11,C,plot,Cadenza,LOW,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,9,56,9,38
2017-R-CS-760,2017,2017-R-CS-760-11,2017-R-CS-760-11-D,2,2,3,11,D,plot,Cadenza,LOW,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,57,4,5
2017-R-CS-760,2017,2017-R-CS-760-11,2017-R-CS-760-11-E,2,2,3,11,E,plot,Cadenza,LOW,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,8,45,8,30
2017-R-CS-760,2017,2017-R-CS-760-13,2017-R-CS-760-13-A,3,1,1,13,A,plot,Hereford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,9,50,9,34
2017-R-CS-760,2017,2017-R-CS-760-13,2017-R-CS-760-13-B,3,1,1,13,B,plot,Hereford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,65,10,40
2017-R-CS-760,2017,2017-R-CS-760-13,2017-R-CS-760-13-C,3,1,1,13,C,plot,Hereford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,9,56,9,38
