study_id,harvest_year,obs_unit_id,obs_unit_rep_id,block,row,column,plot_id,sample_replicate_id,obs_unit_type,variety_factor_level,tab_variety_type,sample_date,tab_sb_assessment_date,sample_timing,tab_sb_wash_date,tab_sb_setup_date,ww_pla_smpl_cnt,ww_rts_smpl_cnt,ww_pla_smpl_tkal_cnt,ww_rts_smpl_tkal_cnt
2019-R-CS-760,2019,2019-R-CS-760-1,2019-R-CS-760-1-A,1,1,1,1,A,plot,Hereford,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,9,56,5,9
2019-R-CS-760,2019,2019-R-CS-760-1,2019-R-CS-760-1-B,1,1,1,1,B,plot,Hereford,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,9,59,0,0
2019-R-CS-760,2019,2019-R-CS-760-1,2019-R-CS-760-1-C,1,1,1,1,C,plot,Hereford,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,9,54,9,26
2019-R-CS-760,2019,2019-R-CS-760-1,2019-R-CS-760-1-D,1,1,1,1,D,plot,Hereford,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,65,10,20
2019-R-CS-760,2019,2019-R-CS-760-1,2019-R-CS-760-1-E,1,1,1,1,E,plot,Hereford,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,72,10,38
2019-R-CS-760,2019,2019-R-CS-760-4,2019-R-CS-760-4-A,1,1,2,4,A,plot,Xi19,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,54,4,4
2019-R-CS-760,2019,2019-R-CS-760-4,2019-R-CS-760-4-B,1,1,2,4,B,plot,Xi19,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,56,10,30
2019-R-CS-760,2019,2019-R-CS-760-4,2019-R-CS-760-4-C,1,1,2,4,C,plot,Xi19,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,64,8,14
2019-R-CS-760,2019,2019-R-CS-760-4,2019-R-CS-760-4-D,1,1,2,4,D,plot,Xi19,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,9,61,9,16
2019-R-CS-760,2019,2019-R-CS-760-4,2019-R-CS-760-4-E,1,1,2,4,E,plot,Xi19,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,60,10,27
2019-R-CS-760,2019,2019-R-CS-760-5,2019-R-CS-760-5-A,1,1,3,5,A,plot,Hereward,HIGH,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,53,10,29
2019-R-CS-760,2019,2019-R-CS-760-5,2019-R-CS-760-5-B,1,1,3,5,B,plot,Hereward,HIGH,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,55,4,6
2019-R-CS-760,2019,2019-R-CS-760-5,2019-R-CS-760-5-C,1,1,3,5,C,plot,Hereward,HIGH,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,60,9,12
2019-R-CS-760,2019,2019-R-CS-760-5,2019-R-CS-760-5-D,1,1,3,5,D,plot,Hereward,HIGH,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,58,7,14
2019-R-CS-760,2019,2019-R-CS-760-5,2019-R-CS-760-5-E,1,1,3,5,E,plot,Hereward,HIGH,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,63,7,17
2019-R-CS-760,2019,2019-R-CS-760-2,2019-R-CS-760-2-A,1,2,1,2,A,plot,Duxford,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,9,55,9,20
2019-R-CS-760,2019,2019-R-CS-760-2,2019-R-CS-760-2-B,1,2,1,2,B,plot,Duxford,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,9,54,5,6
2019-R-CS-760,2019,2019-R-CS-760-2,2019-R-CS-760-2-C,1,2,1,2,C,plot,Duxford,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,62,10,37
2019-R-CS-760,2019,2019-R-CS-760-2,2019-R-CS-760-2-D,1,2,1,2,D,plot,Duxford,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,65,10,40
2019-R-CS-760,2019,2019-R-CS-760-2,2019-R-CS-760-2-E,1,2,1,2,E,plot,Duxford,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,66,10,18
2019-R-CS-760,2019,2019-R-CS-760-3,2019-R-CS-760-3-A,1,2,2,3,A,plot,Barley - KWS Cassia,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,8,43,7,26
2019-R-CS-760,2019,2019-R-CS-760-3,2019-R-CS-760-3-B,1,2,2,3,B,plot,Barley - KWS Cassia,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,61,10,32
2019-R-CS-760,2019,2019-R-CS-760-3,2019-R-CS-760-3-C,1,2,2,3,C,plot,Barley - KWS Cassia,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,11,63,10,23
2019-R-CS-760,2019,2019-R-CS-760-3,2019-R-CS-760-3-D,1,2,2,3,D,plot,Barley - KWS Cassia,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,8,46,8,15
2019-R-CS-760,2019,2019-R-CS-760-3,2019-R-CS-760-3-E,1,2,2,3,E,plot,Barley - KWS Cassia,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,59,7,9
2019-R-CS-760,2019,2019-R-CS-760-6,2019-R-CS-760-6-A,1,2,3,6,A,plot,Cadenza,LOW,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,55,8,17
2019-R-CS-760,2019,2019-R-CS-760-6,2019-R-CS-760-6-B,1,2,3,6,B,plot,Cadenza,LOW,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,11,63,5,8
2019-R-CS-760,2019,2019-R-CS-760-6,2019-R-CS-760-6-C,1,2,3,6,C,plot,Cadenza,LOW,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,9,61,9,44
2019-R-CS-760,2019,2019-R-CS-760-6,2019-R-CS-760-6-D,1,2,3,6,D,plot,Cadenza,LOW,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,69,10,28
2019-R-CS-760,2019,2019-R-CS-760-6,2019-R-CS-760-6-E,1,2,3,6,E,plot,Cadenza,LOW,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,65,8,20
2019-R-CS-760,2019,2019-R-CS-760-8,2019-R-CS-760-8-A,2,1,1,8,A,plot,Duxford,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,53,5,11
2019-R-CS-760,2019,2019-R-CS-760-8,2019-R-CS-760-8-B,2,1,1,8,B,plot,Duxford,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,60,10,33
2019-R-CS-760,2019,2019-R-CS-760-8,2019-R-CS-760-8-C,2,1,1,8,C,plot,Duxford,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,11,70,8,19
2019-R-CS-760,2019,2019-R-CS-760-8,2019-R-CS-760-8-D,2,1,1,8,D,plot,Duxford,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,59,7,13
2019-R-CS-760,2019,2019-R-CS-760-8,2019-R-CS-760-8-E,2,1,1,8,E,plot,Duxford,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,63,5,7
2019-R-CS-760,2019,2019-R-CS-760-9,2019-R-CS-760-9-A,2,1,2,9,A,plot,Barley - KWS Cassia,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,45,4,6
2019-R-CS-760,2019,2019-R-CS-760-9,2019-R-CS-760-9-B,2,1,2,9,B,plot,Barley - KWS Cassia,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,58,4,5
2019-R-CS-760,2019,2019-R-CS-760-9,2019-R-CS-760-9-C,2,1,2,9,C,plot,Barley - KWS Cassia,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,58,6,12
2019-R-CS-760,2019,2019-R-CS-760-9,2019-R-CS-760-9-D,2,1,2,9,D,plot,Barley - KWS Cassia,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,74,10,33
2019-R-CS-760,2019,2019-R-CS-760-9,2019-R-CS-760-9-E,2,1,2,9,E,plot,Barley - KWS Cassia,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,56,9,14
2019-R-CS-760,2019,2019-R-CS-760-12,2019-R-CS-760-12-A,2,1,3,12,A,plot,Hereford,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,62,10,36
2019-R-CS-760,2019,2019-R-CS-760-12,2019-R-CS-760-12-B,2,1,3,12,B,plot,Hereford,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,5,26,5,18
2019-R-CS-760,2019,2019-R-CS-760-12,2019-R-CS-760-12-C,2,1,3,12,C,plot,Hereford,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,56,7,15
2019-R-CS-760,2019,2019-R-CS-760-12,2019-R-CS-760-12-D,2,1,3,12,D,plot,Hereford,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,69,8,23
2019-R-CS-760,2019,2019-R-CS-760-12,2019-R-CS-760-12-E,2,1,3,12,E,plot,Hereford,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,11,69,11,35
2019-R-CS-760,2019,2019-R-CS-760-7,2019-R-CS-760-7-A,2,2,1,7,A,plot,Xi19,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,8,43,7,12
2019-R-CS-760,2019,2019-R-CS-760-7,2019-R-CS-760-7-B,2,2,1,7,B,plot,Xi19,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,63,9,30
2019-R-CS-760,2019,2019-R-CS-760-7,2019-R-CS-760-7-C,2,2,1,7,C,plot,Xi19,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,7,35,7,22
2019-R-CS-760,2019,2019-R-CS-760-7,2019-R-CS-760-7-D,2,2,1,7,D,plot,Xi19,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,58,10,32
2019-R-CS-760,2019,2019-R-CS-760-7,2019-R-CS-760-7-E,2,2,1,7,E,plot,Xi19,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,63,0,0
2019-R-CS-760,2019,2019-R-CS-760-10,2019-R-CS-760-10-A,2,2,2,10,A,plot,Hereward,HIGH,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,60,10,37
2019-R-CS-760,2019,2019-R-CS-760-10,2019-R-CS-760-10-B,2,2,2,10,B,plot,Hereward,HIGH,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,9,53,4,10
2019-R-CS-760,2019,2019-R-CS-760-10,2019-R-CS-760-10-C,2,2,2,10,C,plot,Hereward,HIGH,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,61,10,18
2019-R-CS-760,2019,2019-R-CS-760-10,2019-R-CS-760-10-D,2,2,2,10,D,plot,Hereward,HIGH,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,55,7,15
2019-R-CS-760,2019,2019-R-CS-760-10,2019-R-CS-760-10-E,2,2,2,10,E,plot,Hereward,HIGH,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,63,10,33
2019-R-CS-760,2019,2019-R-CS-760-11,2019-R-CS-760-11-A,2,2,3,11,A,plot,Cadenza,LOW,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,9,46,9,26
2019-R-CS-760,2019,2019-R-CS-760-11,2019-R-CS-760-11-B,2,2,3,11,B,plot,Cadenza,LOW,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,9,60,9,39
2019-R-CS-760,2019,2019-R-CS-760-11,2019-R-CS-760-11-C,2,2,3,11,C,plot,Cadenza,LOW,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,54,2,3
2019-R-CS-760,2019,2019-R-CS-760-11,2019-R-CS-760-11-D,2,2,3,11,D,plot,Cadenza,LOW,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,66,10,50
2019-R-CS-760,2019,2019-R-CS-760-11,2019-R-CS-760-11-E,2,2,3,11,E,plot,Cadenza,LOW,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,65,10,48
2019-R-CS-760,2019,2019-R-CS-760-13,2019-R-CS-760-13-A,3,1,1,13,A,plot,Hereford,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,9,52,4,5
2019-R-CS-760,2019,2019-R-CS-760-13,2019-R-CS-760-13-B,3,1,1,13,B,plot,Hereford,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,11,63,9,19
2019-R-CS-760,2019,2019-R-CS-760-13,2019-R-CS-760-13-C,3,1,1,13,C,plot,Hereford,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,9,52,9,38
2019-R-CS-760,2019,2019-R-CS-760-13,2019-R-CS-760-13-D,3,1,1,13,D,plot,Hereford,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,60,5,10
2019-R-CS-760,2019,2019-R-CS-760-13,2019-R-CS-760-13-E,3,1,1,13,E,plot,Hereford,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,58,2,4
2019-R-CS-760,2019,2019-R-CS-760-16,2019-R-CS-760-16-A,3,1,2,16,A,plot,Xi19,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,9,59,9,31
2019-R-CS-760,2019,2019-R-CS-760-16,2019-R-CS-760-16-B,3,1,2,16,B,plot,Xi19,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,58,10,37
2019-R-CS-760,2019,2019-R-CS-760-16,2019-R-CS-760-16-C,3,1,2,16,C,plot,Xi19,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,68,10,44
2019-R-CS-760,2019,2019-R-CS-760-16,2019-R-CS-760-16-D,3,1,2,16,D,plot,Xi19,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,65,10,38
2019-R-CS-760,2019,2019-R-CS-760-16,2019-R-CS-760-16-E,3,1,2,16,E,plot,Xi19,TEST,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,60,5,8
2019-R-CS-760,2019,2019-R-CS-760-17,2019-R-CS-760-17-A,3,1,3,17,A,plot,Hereward,HIGH,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,6,33,4,6
2019-R-CS-760,2019,2019-R-CS-760-17,2019-R-CS-760-17-B,3,1,3,17,B,plot,Hereward,HIGH,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,58,10,23
2019-R-CS-760,2019,2019-R-CS-760-17,2019-R-CS-760-17-C,3,1,3,17,C,plot,Hereward,HIGH,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,7,44,7,18
2019-R-CS-760,2019,2019-R-CS-760-17,2019-R-CS-760-17-D,3,1,3,17,D,plot,Hereward,HIGH,,2020-02-17/20,post harvest,2020-01-10,2019-12-06,10,69,10,43
