study_id,harvest_year,obs_unit_id,obs_unit_rep_id,block,row,column,plot_id,sample_replicate_id,obs_unit_type,variety_factor_level,tab_variety_type,sample_date,tab_sb_assessment_date,sample_timing,tab_sb_wash_date,tab_sb_setup_date,ww_pla_cnt,ww_rts_cnt,ww_pla_tkal_cnt,ww_rts_tkal_cnt
2016-R-CS-760,2016,2016-R-CS-760-6,2016-R-CS-760-6-D,1,2,3,6,D,plot,Cadenza,LOW,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,8,49,8,39
2016-R-CS-760,2016,2016-R-CS-760-6,2016-R-CS-760-6-E,1,2,3,6,E,plot,Cadenza,LOW,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,60,10,35
2016-R-CS-760,2016,2016-R-CS-760-8,2016-R-CS-760-8-A,2,1,1,8,A,plot,Duxford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,62,10,46
2016-R-CS-760,2016,2016-R-CS-760-8,2016-R-CS-760-8-B,2,1,1,8,B,plot,Duxford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,63,10,52
2016-R-CS-760,2016,2016-R-CS-760-8,2016-R-CS-760-8-C,2,1,1,8,C,plot,Duxford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,9,55,9,50
2016-R-CS-760,2016,2016-R-CS-760-8,2016-R-CS-760-8-D,2,1,1,8,D,plot,Duxford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,9,60,9,34
2016-R-CS-760,2016,2016-R-CS-760-8,2016-R-CS-760-8-E,2,1,1,8,E,plot,Duxford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,9,57,9,27
2016-R-CS-760,2016,2016-R-CS-760-9,2016-R-CS-760-9-A,2,1,2,9,A,plot,Barley - KWS Cassia,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,54,8,18
2016-R-CS-760,2016,2016-R-CS-760-9,2016-R-CS-760-9-B,2,1,2,9,B,plot,Barley - KWS Cassia,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,9,59,9,46
2016-R-CS-760,2016,2016-R-CS-760-9,2016-R-CS-760-9-C,2,1,2,9,C,plot,Barley - KWS Cassia,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,55,0,0
2016-R-CS-760,2016,2016-R-CS-760-9,2016-R-CS-760-9-D,2,1,2,9,D,plot,Barley - KWS Cassia,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,8,48,8,30
