study_id,harvest_year,obs_unit_id,obs_unit_rep_id,block,row,column,plot_id,sample_replicate_id,obs_unit_type,variety_factor_level,tab_variety_type,sample_date,tab_sb_assessment_date,sample_timing,tab_sb_wash_date,tab_sb_setup_date,ww_pla_smpl_cnt,ww_rts_smpl_cnt,ww_pla_smpl_tkal_cnt,ww_rts_smpl_tkal_cnt
2018-R-CS-760,2018,2018-R-CS-760-1,2018-R-CS-760-1-A,1,1,1,1,A,plot,Hereford,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,73,10,49
2018-R-CS-760,2018,2018-R-CS-760-1,2018-R-CS-760-1-B,1,1,1,1,B,plot,Hereford,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,64,10,53
2018-R-CS-760,2018,2018-R-CS-760-1,2018-R-CS-760-1-C,1,1,1,1,C,plot,Hereford,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,9,57,9,41
2018-R-CS-760,2018,2018-R-CS-760-1,2018-R-CS-760-1-D,1,1,1,1,D,plot,Hereford,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,75,10,53
2018-R-CS-760,2018,2018-R-CS-760-1,2018-R-CS-760-1-E,1,1,1,1,E,plot,Hereford,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,9,61,9,43
2018-R-CS-760,2018,2018-R-CS-760-4,2018-R-CS-760-4-A,1,1,2,4,A,plot,Xi19,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,59,10,39
2018-R-CS-760,2018,2018-R-CS-760-4,2018-R-CS-760-4-B,1,1,2,4,B,plot,Xi19,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,58,10,36
2018-R-CS-760,2018,2018-R-CS-760-4,2018-R-CS-760-4-C,1,1,2,4,C,plot,Xi19,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,71,10,45
2018-R-CS-760,2018,2018-R-CS-760-4,2018-R-CS-760-4-D,1,1,2,4,D,plot,Xi19,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,74,10,52
2018-R-CS-760,2018,2018-R-CS-760-4,2018-R-CS-760-4-E,1,1,2,4,E,plot,Xi19,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,61,10,32
2018-R-CS-760,2018,2018-R-CS-760-5,2018-R-CS-760-5-A,1,1,3,5,A,plot,Hereward,HIGH,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,9,53,9,31
2018-R-CS-760,2018,2018-R-CS-760-5,2018-R-CS-760-5-B,1,1,3,5,B,plot,Hereward,HIGH,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,63,9,45
2018-R-CS-760,2018,2018-R-CS-760-5,2018-R-CS-760-5-C,1,1,3,5,C,plot,Hereward,HIGH,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,8,52,8,43
2018-R-CS-760,2018,2018-R-CS-760-5,2018-R-CS-760-5-D,1,1,3,5,D,plot,Hereward,HIGH,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,68,10,52
2018-R-CS-760,2018,2018-R-CS-760-5,2018-R-CS-760-5-E,1,1,3,5,E,plot,Hereward,HIGH,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,65,10,44
2018-R-CS-760,2018,2018-R-CS-760-2,2018-R-CS-760-2-A,1,2,1,2,A,plot,Duxford,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,68,10,39
2018-R-CS-760,2018,2018-R-CS-760-2,2018-R-CS-760-2-B,1,2,1,2,B,plot,Duxford,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,68,8,23
2018-R-CS-760,2018,2018-R-CS-760-2,2018-R-CS-760-2-C,1,2,1,2,C,plot,Duxford,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,58,10,15
2018-R-CS-760,2018,2018-R-CS-760-2,2018-R-CS-760-2-D,1,2,1,2,D,plot,Duxford,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,70,10,56
2018-R-CS-760,2018,2018-R-CS-760-2,2018-R-CS-760-2-E,1,2,1,2,E,plot,Duxford,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,68,10,58
2018-R-CS-760,2018,2018-R-CS-760-3,2018-R-CS-760-3-A,1,2,2,3,A,plot,Barley - KWS Cassia,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,65,10,49
2018-R-CS-760,2018,2018-R-CS-760-3,2018-R-CS-760-3-B,1,2,2,3,B,plot,Barley - KWS Cassia,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,66,10,30
2018-R-CS-760,2018,2018-R-CS-760-3,2018-R-CS-760-3-C,1,2,2,3,C,plot,Barley - KWS Cassia,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,67,9,18
2018-R-CS-760,2018,2018-R-CS-760-3,2018-R-CS-760-3-D,1,2,2,3,D,plot,Barley - KWS Cassia,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,66,10,40
2018-R-CS-760,2018,2018-R-CS-760-3,2018-R-CS-760-3-E,1,2,2,3,E,plot,Barley - KWS Cassia,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,76,10,34
2018-R-CS-760,2018,2018-R-CS-760-6,2018-R-CS-760-6-A,1,2,3,6,A,plot,Cadenza,LOW,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,58,6,13
2018-R-CS-760,2018,2018-R-CS-760-6,2018-R-CS-760-6-B,1,2,3,6,B,plot,Cadenza,LOW,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,65,8,24
2018-R-CS-760,2018,2018-R-CS-760-6,2018-R-CS-760-6-C,1,2,3,6,C,plot,Cadenza,LOW,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,67,10,52
2018-R-CS-760,2018,2018-R-CS-760-6,2018-R-CS-760-6-D,1,2,3,6,D,plot,Cadenza,LOW,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,9,57,9,45
2018-R-CS-760,2018,2018-R-CS-760-6,2018-R-CS-760-6-E,1,2,3,6,E,plot,Cadenza,LOW,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,9,62,9,50
2018-R-CS-760,2018,2018-R-CS-760-8,2018-R-CS-760-8-A,2,1,1,8,A,plot,Duxford,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,64,10,25
2018-R-CS-760,2018,2018-R-CS-760-8,2018-R-CS-760-8-B,2,1,1,8,B,plot,Duxford,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,62,10,38
2018-R-CS-760,2018,2018-R-CS-760-8,2018-R-CS-760-8-C,2,1,1,8,C,plot,Duxford,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,68,9,27
2018-R-CS-760,2018,2018-R-CS-760-8,2018-R-CS-760-8-D,2,1,1,8,D,plot,Duxford,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,66,10,46
2018-R-CS-760,2018,2018-R-CS-760-8,2018-R-CS-760-8-E,2,1,1,8,E,plot,Duxford,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,65,10,54
2018-R-CS-760,2018,2018-R-CS-760-9,2018-R-CS-760-9-A,2,1,2,9,A,plot,Barley - KWS Cassia,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,66,10,45
2018-R-CS-760,2018,2018-R-CS-760-9,2018-R-CS-760-9-B,2,1,2,9,B,plot,Barley - KWS Cassia,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,65,10,42
2018-R-CS-760,2018,2018-R-CS-760-9,2018-R-CS-760-9-C,2,1,2,9,C,plot,Barley - KWS Cassia,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,9,67,9,49
2018-R-CS-760,2018,2018-R-CS-760-9,2018-R-CS-760-9-D,2,1,2,9,D,plot,Barley - KWS Cassia,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,8,59,8,43
2018-R-CS-760,2018,2018-R-CS-760-9,2018-R-CS-760-9-E,2,1,2,9,E,plot,Barley - KWS Cassia,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,70,10,47
2018-R-CS-760,2018,2018-R-CS-760-12,2018-R-CS-760-12-A,2,1,3,12,A,plot,Hereford,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,9,65,9,48
2018-R-CS-760,2018,2018-R-CS-760-12,2018-R-CS-760-12-B,2,1,3,12,B,plot,Hereford,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,63,10,48
2018-R-CS-760,2018,2018-R-CS-760-12,2018-R-CS-760-12-C,2,1,3,12,C,plot,Hereford,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,9,53,9,38
2018-R-CS-760,2018,2018-R-CS-760-12,2018-R-CS-760-12-D,2,1,3,12,D,plot,Hereford,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,67,9,22
2018-R-CS-760,2018,2018-R-CS-760-12,2018-R-CS-760-12-E,2,1,3,12,E,plot,Hereford,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,68,5,6
2018-R-CS-760,2018,2018-R-CS-760-7,2018-R-CS-760-7-A,2,2,1,7,A,plot,Xi19,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,9,60,9,23
2018-R-CS-760,2018,2018-R-CS-760-7,2018-R-CS-760-7-B,2,2,1,7,B,plot,Xi19,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,67,10,37
2018-R-CS-760,2018,2018-R-CS-760-7,2018-R-CS-760-7-C,2,2,1,7,C,plot,Xi19,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,9,58,9,39
2018-R-CS-760,2018,2018-R-CS-760-7,2018-R-CS-760-7-D,2,2,1,7,D,plot,Xi19,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,66,10,36
2018-R-CS-760,2018,2018-R-CS-760-7,2018-R-CS-760-7-E,2,2,1,7,E,plot,Xi19,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,62,2,3
2018-R-CS-760,2018,2018-R-CS-760-10,2018-R-CS-760-10-A,2,2,2,10,A,plot,Hereward,HIGH,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,9,55,9,42
2018-R-CS-760,2018,2018-R-CS-760-10,2018-R-CS-760-10-B,2,2,2,10,B,plot,Hereward,HIGH,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,11,68,11,34
2018-R-CS-760,2018,2018-R-CS-760-10,2018-R-CS-760-10-C,2,2,2,10,C,plot,Hereward,HIGH,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,71,10,53
2018-R-CS-760,2018,2018-R-CS-760-10,2018-R-CS-760-10-D,2,2,2,10,D,plot,Hereward,HIGH,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,64,10,39
2018-R-CS-760,2018,2018-R-CS-760-10,2018-R-CS-760-10-E,2,2,2,10,E,plot,Hereward,HIGH,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,73,10,47
2018-R-CS-760,2018,2018-R-CS-760-11,2018-R-CS-760-11-A,2,2,3,11,A,plot,Cadenza,LOW,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,68,10,43
2018-R-CS-760,2018,2018-R-CS-760-11,2018-R-CS-760-11-B,2,2,3,11,B,plot,Cadenza,LOW,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,63,10,54
2018-R-CS-760,2018,2018-R-CS-760-11,2018-R-CS-760-11-C,2,2,3,11,C,plot,Cadenza,LOW,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,69,10,52
2018-R-CS-760,2018,2018-R-CS-760-11,2018-R-CS-760-11-D,2,2,3,11,D,plot,Cadenza,LOW,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,71,9,26
2018-R-CS-760,2018,2018-R-CS-760-11,2018-R-CS-760-11-E,2,2,3,11,E,plot,Cadenza,LOW,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,64,10,50
2018-R-CS-760,2018,2018-R-CS-760-13,2018-R-CS-760-13-A,3,1,1,13,A,plot,Hereford,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,70,10,57
2018-R-CS-760,2018,2018-R-CS-760-13,2018-R-CS-760-13-B,3,1,1,13,B,plot,Hereford,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,69,10,52
2018-R-CS-760,2018,2018-R-CS-760-13,2018-R-CS-760-13-C,3,1,1,13,C,plot,Hereford,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,60,10,50
2018-R-CS-760,2018,2018-R-CS-760-13,2018-R-CS-760-13-D,3,1,1,13,D,plot,Hereford,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,75,10,50
2018-R-CS-760,2018,2018-R-CS-760-13,2018-R-CS-760-13-E,3,1,1,13,E,plot,Hereford,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,66,10,44
2018-R-CS-760,2018,2018-R-CS-760-16,2018-R-CS-760-16-A,3,1,2,16,A,plot,Xi19,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,65,10,29
2018-R-CS-760,2018,2018-R-CS-760-16,2018-R-CS-760-16-B,3,1,2,16,B,plot,Xi19,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,58,10,40
2018-R-CS-760,2018,2018-R-CS-760-16,2018-R-CS-760-16-C,3,1,2,16,C,plot,Xi19,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,67,10,57
2018-R-CS-760,2018,2018-R-CS-760-16,2018-R-CS-760-16-D,3,1,2,16,D,plot,Xi19,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,9,61,9,27
2018-R-CS-760,2018,2018-R-CS-760-16,2018-R-CS-760-16-E,3,1,2,16,E,plot,Xi19,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,66,10,48
2018-R-CS-760,2018,2018-R-CS-760-17,2018-R-CS-760-17-A,3,1,3,17,A,plot,Hereward,HIGH,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,62,10,40
2018-R-CS-760,2018,2018-R-CS-760-17,2018-R-CS-760-17-B,3,1,3,17,B,plot,Hereward,HIGH,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,65,10,40
2018-R-CS-760,2018,2018-R-CS-760-17,2018-R-CS-760-17-C,3,1,3,17,C,plot,Hereward,HIGH,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,9,68,9,58
2018-R-CS-760,2018,2018-R-CS-760-17,2018-R-CS-760-17-D,3,1,3,17,D,plot,Hereward,HIGH,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,60,10,48
2018-R-CS-760,2018,2018-R-CS-760-17,2018-R-CS-760-17-E,3,1,3,17,E,plot,Hereward,HIGH,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,10,68,10,55
2018-R-CS-760,2018,2018-R-CS-760-14,2018-R-CS-760-14-A,3,2,1,14,A,plot,Barley - KWS Cassia,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,9,59,9,34
2018-R-CS-760,2018,2018-R-CS-760-14,2018-R-CS-760-14-B,3,2,1,14,B,plot,Barley - KWS Cassia,TEST,2018-08-22,2018-12-18,post harvest,2018-12-14,2018-11-09,9,57,9,38
