study_id,harvest_year,obs_unit_id,obs_unit_rep_id,block,row,column,plot_id,sample_replicate_id,obs_unit_type,variety_factor_level,tab_variety_type,sample_date,tab_sb_assessment_date,sample_timing,tab_sb_wash_date,tab_sb_setup_date,ww_pla_smpl_cnt,ww_rts_smpl_cnt,ww_pla_smpl_tkal_cnt,ww_rts_smpl_tkal_cnt
2020-R-CS-760,2020,2020-R-CS-760-1,2020-R-CS-760-1-A,1,1,1,1,A,plot,Hereford,TEST,,2021-03-15/22,post harvest,2021-04-03,2021-02-27,10,43,10,19
2020-R-CS-760,2020,2020-R-CS-760-1,2020-R-CS-760-1-B,1,1,1,1,B,plot,Hereford,TEST,,2021-03-15/22,post harvest,2021-04-03,2021-02-27,9,47,9,14
2020-R-CS-760,2020,2020-R-CS-760-1,2020-R-CS-760-1-C,1,1,1,1,C,plot,Hereford,TEST,,2021-03-15/22,post harvest,2021-04-03,2021-02-27,9,45,4,5
2020-R-CS-760,2020,2020-R-CS-760-1,2020-R-CS-760-1-D,1,1,1,1,D,plot,Hereford,TEST,,2021-03-15/22,post harvest,2021-04-03,2021-02-27,8,43,0,0
2020-R-CS-760,2020,2020-R-CS-760-1,2020-R-CS-760-1-E,1,1,1,1,E,plot,Hereford,TEST,,2021-03-15/22,post harvest,2021-04-03,2021-02-27,9,52,8,26
2020-R-CS-760,2020,2020-R-CS-760-4,2020-R-CS-760-4-A,1,1,2,4,A,plot,Xi19,TEST,,2021-03-15/22,post harvest,2021-04-03,2021-02-27,10,47,2,2
2020-R-CS-760,2020,2020-R-CS-760-4,2020-R-CS-760-4-B,1,1,2,4,B,plot,Xi19,TEST,,2021-03-15/22,post harvest,2021-04-03,2021-02-27,10,45,1,1
2020-R-CS-760,2020,2020-R-CS-760-4,2020-R-CS-760-4-C,1,1,2,4,C,plot,Xi19,TEST,,2021-03-15/22,post harvest,2021-04-03,2021-02-27,9,48,5,10
2020-R-CS-760,2020,2020-R-CS-760-4,2020-R-CS-760-4-D,1,1,2,4,D,plot,Xi19,TEST,,2021-03-15/22,post harvest,2021-04-03,2021-02-27,10,52,10,24
2020-R-CS-760,2020,2020-R-CS-760-4,2020-R-CS-760-4-E,1,1,2,4,E,plot,Xi19,TEST,,2021-03-15/22,post harvest,2021-04-03,2021-02-27,10,52,9,16
